taxon_order,category,species_code,primary_com_name,sci_name,order,family,species_group,report_as,family_common
1,species,ostric2,common ostrich,struthio camelus,struthioniformes,struthionidae,ostriches,,ostriches
6,species,ostric3,somali ostrich,struthio molybdophanes,struthioniformes,struthionidae,,,ostriches
7,slash,y00934,common/somali ostrich,struthio camelus/molybdophanes,struthioniformes,struthionidae,,,ostriches
8,species,grerhe1,greater rhea,rhea americana,rheiformes,rheidae,rheas,,rheas
14,species,lesrhe2,lesser rhea,rhea pennata,rheiformes,rheidae,,,rheas
15,issf,lesrhe4,lesser rhea (puna),rhea pennata tarapacensis/garleppi,rheiformes,rheidae,,lesrhe2,rheas
18,issf,lesrhe3,lesser rhea (darwin's),rhea pennata pennata,rheiformes,rheidae,,lesrhe2,rheas
19,species,tabtin1,tawny-breasted tinamou,nothocercus julius,tinamiformes,tinamidae,tinamous,,tinamous
20,species,higtin1,highland tinamou,nothocercus bonapartei,tinamiformes,tinamidae,,,tinamous
21,issf,higtin2,highland tinamou (south american),nothocercus bonapartei [bonapartei group],tinamiformes,tinamidae,,higtin1,tinamous
26,issf,higtin3,highland tinamou (costa rican),nothocercus bonapartei frantzii,tinamiformes,tinamidae,,higtin1,tinamous
27,species,hootin1,hooded tinamou,nothocercus nigrocapillus,tinamiformes,tinamidae,,,tinamous
30,species,grytin1,gray tinamou,tinamus tao,tinamiformes,tinamidae,,,tinamous
35,species,soltin1,solitary tinamou,tinamus solitarius,tinamiformes,tinamidae,,,tinamous
36,species,blatin1,black tinamou,tinamus osgoodi,tinamiformes,tinamidae,,,tinamous
39,species,gretin1,great tinamou,tinamus major,tinamiformes,tinamidae,,,tinamous
52,species,whttin1,white-throated tinamou,tinamus guttatus,tinamiformes,tinamidae,,,tinamous
53,spuh,tinamu1,tinamus sp.,tinamus sp.,tinamiformes,tinamidae,,,tinamous
54,species,cintin1,cinereous tinamou,crypturellus cinereus,tinamiformes,tinamidae,,,tinamous
55,species,bertin1,berlepsch's tinamou,crypturellus berlepschi,tinamiformes,tinamidae,,,tinamous
56,species,littin1,little tinamou,crypturellus soui,tinamiformes,tinamidae,,,tinamous
71,species,teptin1,tepui tinamou,crypturellus ptaritepui,tinamiformes,tinamidae,,,tinamous
72,species,brotin1,brown tinamou,crypturellus obsoletus,tinamiformes,tinamidae,,,tinamous
73,issf,brntin1,brown tinamou (castaneus),crypturellus obsoletus castaneus,tinamiformes,tinamidae,,brotin1,tinamous
74,issf,brntin2,brown tinamou (brown),crypturellus obsoletus [obsoletus group],tinamiformes,tinamidae,,brotin1,tinamous
83,species,undtin1,undulated tinamou,crypturellus undulatus,tinamiformes,tinamidae,,,tinamous
90,species,pabtin1,pale-browed tinamou,crypturellus transfasciatus,tinamiformes,tinamidae,,,tinamous
91,species,bratin1,brazilian tinamou,crypturellus strigulosus,tinamiformes,tinamidae,,,tinamous
92,species,gyltin1,gray-legged tinamou,crypturellus duidae,tinamiformes,tinamidae,,,tinamous
93,species,reltin1,red-legged tinamou,crypturellus erythropus,tinamiformes,tinamidae,,,tinamous
101,species,yeltin1,yellow-legged tinamou,crypturellus noctivagus,tinamiformes,tinamidae,,,tinamous
102,issf,yeltin2,yellow-legged tinamou (zabele),crypturellus noctivagus zabele,tinamiformes,tinamidae,,yeltin1,tinamous
103,issf,yeltin3,yellow-legged tinamou (noctivagus),crypturellus noctivagus noctivagus,tinamiformes,tinamidae,,yeltin1,tinamous
